french,nature,eton
plante (sp),n.,àlɔ́ mbúâ
plante (sp),n.,bád ɛ́wálî
plante (sp),n.,ɛ̀-jwàmí
plante (sp),n.,ɛ̀-ndó
plante (sp),n.,ì-nə̀m cwâlgɔ̀
plante (sp),n.,ì-nə̀m ɛ́vùl
plante (sp),n.,ì-sǎŋ
plante (sp),n.,ì-sòŋ
plante (sp),n.,ì-tóndó
plante (sp),n.,ì-tòŋ ɛ́pàn
plante (sp),n.,kùkùmà
plante (sp),n.,kùkùmà bìkàblí
plante (sp),n.,lélê ǹtáŋní
plante (sp),n.,ɲádâ ìlwág
plante (sp),n.,ɲ̀-ɲə̀ŋ
plante (sp),n.,ɲɔ̀y
plante (sp),n.,úkûl bìpèègá
plante (sp),n.,və̀vàzá
plante (sp),n.,wú úꜜswánɔ̂
planter,v.,bə̀
planter (action),n.,ì-bə̀
plantoir,n.,ǹ-tɔ́ŋ
plat,n.,ɲ̀-ɲám
plat cuisiné (sp),n.,ŋ̀-kóngí
plat de maïs,n.,ì-kòmò
plat d’escargots,n.,ì-làd í kɔ́y
plat (sissongo),n.,mì-sɔ̀ŋ
plat (sp),n.,ì-cágâ
plat (sp),n.,sà mbàz
plat (sp.),n.,sàŋlà
plein,n adj.,ɛ̀-ŋgùmà
plein,n adj.,ǹ-túd
plein (lune),n.,ɛ̀-bóm
plein (être_),v.,tə̀mbə̀
plein (être_),v rés.,tə̀mə́
pêle-mêle,n adj.,ì-cícîgà
pleur,n.,ǹ-tàd
pleur,n.,ɲ̀-ɲón
pleurer,v.,jə̀
pleurer,v.,jón
pleurer avec,v.,jèènì
pleurnicher,v.,jón
pleurs (sp),idéo.,kɔ̀ɔ̀m
pleuvoir,v.,nɔ́ŋ
pli,n.,ì-ɲə́g
pli,n.,m̀-mágâ
pli,n.,ŋ̀-kɔ̀ŋ
plié (sp),n.,ɛ̀-bág
plier,v.,bág
plier,v.,vúd
plier (sp),v.,kúd
plomb,n.,àpídâ
plongeon,n.,ì-làz
plonger,v.,láb
"plonger, immerger",v.,dù
éplucher,v.,pózî
éplucher,v.,sɛ́lî
éplucher (sp),v.,kpàm
éplucher (sp),v.,kpàmì
éplucher (sp),v.,tònì
épluchures,n.,ì-kòglò
pluie,n.,mbə̀ŋ
pluie fine,n.,pòb
plume,n.,tám
plume (sp),n.,ù-tə̀glə̀
plumer,v.,pwán
plumes,n.,ɛ̀-vùl
plus,adv.,pə̂
plus ou moins,adv.,ndúŋ
plus que,v.,lòd
plutôt,adv.,ndúŋ
pénible,n adj.,à-lɛ̌d
pénible,n adj.,ɲ̀-jǔg
pénis,n.,ɲ̀-cwád
pénis impubère,n.,ì-sùswàl
pénitence,n.,mə̀-túg
pénitence (faire ),v.,túg
pénétrer,v.,ɲíì
pénétrer (faire ),v.,ɲíŋlâ
pénurie,n.,ɛ̀-jə́b
poche,n.,m̀-pə́g
Poiana richardsoni (?),n.,zòl
poignet,n.,ì-bwágzí dɔ́
poil,n.,ɛ̀-vùl
poil,n.,ŋgàz
poil du corps,n.,ɛ̀-vùl
poil (sp),n.,mbámdúlá
pointe,n.,ɲ̀-cɔ̀ŋ
poire à lavement,n.,mbóónò
poison,n.,ɲ̀-cù
poison (sp),n.,ì-nèy
poisson,n.,kwǎz
poisson fumé (sp),n.,gèdè
poisson (sp),n.,ì-lóló
poisson (sp),n.,kàŋá
poisson (sp),n.,m̀-móŋ
poisson (sp),n.,tɔ́ŋ
poitrine,n.,mìŋ-kùg
poitrine,n.,tó
poivre de Guinée,n.,ndóŋ
poivrier de Guinée,n.,ì-kwǐ
poêle,n.,yáŋə́yâŋà
poêle (sp),n.,ì-pìŋgə́ŋ
police,n.,pùlúz
policier,n.,bə̀zìmì
polygamie,n adj.,bàgá
pomme Cythère,n.,kàzmáŋâ
pomme d’Adam,n.,ù-dág
pomme de terre,n.,mə̀-tódó
pomper,v.,póm
poncer,v.,síì
pondéré (être_),v.,tìg
pondre,v.,tágî
éponge,n.,ɛ̀-ɲà
éponge (sp),n.,kùzá
époque,n.,ɲ̀-ɲə̀
époque,n.,túúdì
porc,n.,ŋgǒy
porc-épic,n.,ŋgǒm
porte,n.,m̀-mə́ ndá
porter,v rés.,bə̀glə̂
porter (vêtement),v.,dál
portion d’un champ,n.,kàlà
poser,v.,bɛ̀dì
poser,v.,tɛ́lî
poser (se ) (sp),v.,ŋgàzbà
position,n.,ì-tə́
position,n.,ì-tə́
posséder,v res.,g͡bɛ́lə̂
posséder (sp),v rés.,hàdá
posséder (sp),v rés.,nàdá
poste,n.,ŋ̀-kóŋ
poste de travail,n.,à-sú ísá
pot,n.,mbə̌
pot,n.,m̀-mɔ̀ŋ
pot (sp),n.,kúlwàdá
pot (sp),n.,m̀-mɔ̀ŋ
pot (sp),n.,ù-dɔ̀g
Potamochoerus porcus,n.,ŋgwě ìpə́
potamochère,n.,bə̀mə̀
potamochère,n.,ŋgwě ìpə́
potamogale,n.,ì-jè í ꜜkwáz
potamogale,n.,ì-jə̀ í ꜜkwáz
poteau,n.,ɛ̀-ndə́
potelé,n adj.,ì-ndód
potiron,n.,ɛ̀-bɔ̌g
potto (sp),n.,ɛ́wúnî
pou de la tête,n.,ɲǐn
pou du pubis,n.,ì-lád
poudre,n.,m̀-pùŋ
poudre (sp),n.,bázâ
poudre (sp),n.,ndwì
poule,n.,kú
poumon,n.,ndàm
pour,prép.,ású
pourri,n adj.,ì-bwǎl
pourrir,v.,bɔ̀
pourrir (faire ),v.,bɔ̀lɔ̀
pourriture,n adj.,ì-bwǎl
poursuivre,v.,bə̀ŋ
poursuivre,v.,kə̀ èè
épouse,n.,ŋ̀-ŋál
épouse de,n.,ŋgá
épouser,v.,bá
pousse (sp),n.,ù-zǒm
pousser,v.,jò
pousser,v.,súglâ
pousser,v.,tín
pousser,v.,və́blâ
épousseter,v.,sàmzà
poussière,n.,cà
poussière,n.,ì-púꜜpúm
poutre,n.,m̀-póm
poutre (sp),n.,ù-bóŋ ɲádâ
épouvantable,n adj.,cìcî
épouvantail,n.,cìcî
pouvoir,n.,ì-jôy
pouvoir,n.,ŋgùl
pouvoir,v.,nə̀
époux,n.,mázâ
époux,n.,ɲ̀-ɲóm
poyane (?),n.,zòl
pépin,n.,mbɔ́
prédateur (être_),v.,g͡bɛ̀ɛ̀nì
prédicateur,n.,ŋ̀-kàdà pɔ́
âpre,n.,ɛ̀-cíl
père,n.,íꜜsá
père (mon ),n.,tàdá
père (ton ),n.,íꜜsɔ́
premier-né,n adj.,ǹ-tól
prendre,v.,ɲɔ̀ŋ
prendre,v.,twágî
prendre du poids,v.,pàg
presser,v.,bán
presser (sp),v.,myàd
presser (sp),v.,pə́b
pression,n.,mə̀-bádná
pressoir (sp),n.,ù-pɛ̀d
preuve,n.,ndə̀m
prier,v.,kòglàn èè
période longue,n.,ì-bàn
prioritairement (faire ),q aux.,tá
prière,n.,ŋgòglǎn
prise (sp),n.,kùlbá
prison,n.,m̀-mòg
prison,n.,m̀-mɔ̀g
prison,n.,ù-pɛ̀d
priver (se de),v.,cì
prix,n.,táŋ
problème,n.,ɛ̀-vɔ́
problème,n.,ì-tɔ̀m
proche,adv.,bə̀bə̀
proclamer,v.,yɛ́dnə̀
procès,n.,jwáz
produire (arbre),v.,wúm
produire (se ),v.,lòd
produire (sp),v.,ság
professer,v.,mə̀m
professeur,n.,ɲ̀-ɲə́glə́
profit,n.,m̀-pí
profond,n adj.,ì-dɔ́g
profond,n adj.,ndìm
profond,n adj.,pùd
profond (rivière),n.,d-ìmà
profondeur,n adj.,ì-dɔ́g
programmation,n.,ǹ-tágní
progresser lentement,v.,jìz
progression (sp),n.,ù-jìz
prohiber,v.,kàmnì
projet,n.,ɲ̀-ɲìní
projeter,v.,vázlâ
prolétaire,n.,cúgzɛ̂d
promenade,n.,d-ùlà
promener (se),v.,wùlà
promesse,n.,mə̀-tǐŋ
promettre,n.,mə̀-tǐŋ
promettre,v.,kàg
promettre,v.,sə̀
prononcer,v.,túd
propre,n adj.,m̀-púbní
propre (être_),v.,púb
proscrire,v.,kàmnì
proscrire,v.,kàmnì èè
prospérer,v.,bùgbàn
prostitution,n.,ŋ̀-kànə̀ŋ
protestant,n.,àmɛ̀dkán
protester,v.,pɛ̀dnì
protéger,v.,kálâ
Protoxerus stangeri,n.,mɔ̂ŋɔ̀
prout,n.,ɲ̀-cùl
éprouver gêne,v.,sáŋnì
provenir de,v.,tê
providence,n.,mbàm
provision,n.,ì-kàgá
provocateur (être_),v.,bàgnì
provocation,n.,mbàgnì
provoquer,v.,bàgì
provoquer,v.,bóblô
provoquer,v.,càg
provoquer,v.,sòŋlò
préparatifs,n.,ŋgòmzàn
préparation,n.,ɲ̀-ɲám
préparer,v.,jám
préparer (se  à),v.,kòmzàn
présage (mauvaise),n.,ɛ̀-bə̂
présenter,v.,lɛ́də̂
présomption,n.,ù-mə̀m
prêt,adv.,bə̀bə̀
prêt,n.,ndóŋ
prétendre (se ),v.,mə̀m
prétentieux (être_),v.,mə̀m
prétentieux (être_),v.,yág
prêter,v.,kòlì
prétexte,n.,ɛ̀-kɛ̀lbə́
prétexte,n.,ɛ̀-wágbɔ́
prêtre,n.,pàdà
prune,n.,sá
prune Cythère,n.,kàzmáŋâ
prune (sp),n.,àpùmá àsá
pâte,n.,ì-bǐg
pâte,n.,ì-nɔ̀dɔ̀
pâte,n.,ǹ-tùdà
pâte (beignets),n.,mə̀-kàlà
pâte de termites,n.,m̀-mə́g
Pterocarpus soyauxii,n.,m̀-mɛ̀l
pétiller,v.,dìglàn
pétiller,v.,sáb
pétiole (sp),n.,ŋ̀-kɔ́g
pétrir,v.,bìg
pétrir,v.,bùùlà
pétrir,v.,pùg
pétrole,n.,kàlàsínâ
pâturage,n.,mə̀-díígà
pubis,n.,mbùm sí
public,n.,ɲ̀-cə̀ŋ
publier,v.,bɛ́nî
puce,n.,ì-dàŋ
puer,v.,nùm
pugnace,n adj.,bì-lə́lág
pugnacité,n.,ù-lág
épuisé,adv.,làbàg
épuisé,n adj.,ǹ-tàbgì
épuisement,n.,sɔ́m
puiser,v.,bòd
puiser,v.,lə̀mdə̀
épuiser,v.,pɔ́ŋzɔ̂
épuiser (s’_ ),v.,tə̀g
puiser (sp),v.,lə̀ŋ
puissance,n.,pím
puits,n.,ì-tàm
pulluler,v.,ɲùmnì
pulpe,n.,ì-súg
punition,n.,ì-ndə́glə́
purée,n.,mə̀-njáná
purée,n.,m̀-pɛ̌l
purger,v.,bóónò
purger,v.,pyál
purger son ventre,v.,bóónì
puérilité,n.,à-mɔ̀ŋɔ́
pus,n.,ɛ̀-víl
pus (sp),n.,pɔ́ŋ
pygmées,n.,bə̀-kòy
python,n.,mbɔ̀m
quand?,adv.,ídɛ́n
quantité,n.,ɛ̀-bím
quartier (,n.,ŋm̀-ŋmà
quasi-mangue,n.,kàzmáŋâ
quatre,adj.,-nà
quatre,num.,nàn
que,sub.,nâ
quel,adj.,-pə̀
querelle,n.,záŋ
quereller,v.,cə̀g
quereller (se ),v.,sáánì
querelleur,n.,ǹ-sáánà
question,n.,m̀-móló
question,n.,ɲ̀-cílá
queue,n.,ŋ̀-kǒn
queue (sp),n.,ɛ̀-ɲjə́ŋlə́
queue (sp),n.,ù-kwàd
queue (sp),n.,ù-làn
qui?,n.,zá
quinine,n.,kíní
quinine (arbre),n.,ì-kùg
Quinquina ledgeriana,n.,ì-kùg
quitte,int.,bìkpéy
quitter,v.,kódô
quitter,v.,tê
quiétude,n adj.,mbwàgí
quoi?,n.,jə́
rabattre son tort,v.,bádnà
érable africain,n.,à-jòz
rabougri,n adj.,ì-kpá
rabougri,n adj.,ŋm̀-kpáŋ
raccommoder,v.,lɔ́
race,n.,mbɔ̀ŋ
racine,n.,ŋ̀-kǎŋ
racine,n.,tín
racine (prendre ),v.,lád
rack,n.,ù-jə̀ŋ
racler,v.,wɔ́m
racler (sp),v.,wɔ́mlɔ̂
racleur,n.,ù-jə̀ŋ
"racontar, rumeur, on-dit",n.,ì-kúkwâlɔ̀
raconter,v.,kànì mìŋkànà
raconter,v.,lây
raconter,v.,tɔ́ŋ
raconter (sp),v.,láŋnì
raconteur,n.,ǹ-nây
raconteur,n.,ǹ-tə̂
radin,n adj.,ù-kág
radio,n.,ràdyô
rafler,v.,bòm
raide,n adj.,ndòndòŋ
raie,n.,ì-sàlgà
rail,n.,ŋ̀-kɔ́ŋ ɲcínâ
rallonger,v.,jàbà
ramasser,v.,twáb
ramasser,v.,twágî
ramasser,v.,wóólô
rameau,n.,ɲ̀-cá
ramolli,n adj.,m̀-múúní
ramollir (sp),v.,bwî
ramper,v.,dùùdàn
ramper,v.,yágî
ramper (sp),v.,dùùdàn
ramper (sp),v.,wɔ́ŋ
rancir,v.,sùn
rancune,n.,ì-bá
rancune,n.,ì-vùdgá
rancune,n.,ù-bǐb
rancunier (être),v.,zíŋbá
rancunier (être_),v.,vùdnì
rang,n.,ɲ̀-cámá
ranger,v.,bág
ranger,v.,tág
rapace (sp.),n.,káyám
rapace (sp),n.,ù-bàm
raphia,n.,zàm
raphia (tissu de ),n.,sàzà
raphia (tissu de ),n.,sə̀gə̀
rapidement,n adj.,à-vól
rapidité,n adj.,à-vól
rapport,n.,ndɔ́ŋ
rare (être_),v.,jə́ŋbân
rare (être_); manquer,v.,jə́mnì
rasage,n.,ì-kə̀ŋbàn
raser,v.,kə̀ŋ
rassasier,v.,ɲɔ̀dbɔ̀
rassasier (se ),v.,njɔ́g
rassembler,v.,kóznò
rat,n.,pó
rat (sp),n.,ì-bɔ̀g
rat (sp),n.,ì-kwě
rat (sp),n.,kwé ì sí
rat (sp),n.,mbɛ́n
rat (sp),n.,sálâ
rater,v.,cɔ́g
rater,v.,vùz
raton (sp),n.,mbə́n
rauque,n.,ì-ŋmg͡bə̀ŋmg͡bàm
ravager,v.,sà
ravin,n.,m̀-mə́mə́g
ravin,n.,ŋm̀-ŋmìglìm
réchauffer,v.,báb
réchauffer,v.,jóŋlô
réchauffer (se ),v.,wáblɔ̀
récipient à moitié,n.,ì-sə̌g
récipient (sp),n.,d-ə̌b
récipient (sp),n.,ì-lə̀ə̀ŋə̀
récipient (sp),n.,ì-lógzó
récit,n.,ndɔ́ŋ
récit,n.,ǹ-náŋ
réclamation,n.,ù-tám
réclamer,v.,jàgì
récolte,n.,mə̀-kɔ́
récolter,v.,kɔ́
récolter,v.,pág
récolter des lianes,v.,sɔ̀
récolter (se ),v.,lə̀ŋnì
récolter (sp),v.,bòg
récolter (sp),v.,pùmì
récolter (sp ),v.,kòzì
récolteur de lianes,n.,ǹ-sɔ̀
récompense,n.,m-ágnì
récompenser,v.,págî
réconcilier,v.,kòm
récupérer,v.,twágî
réduire en poudre,v.,ɲùŋlà
re-,q aux.,tìmnì
rebondir,v.,báŋ
recensement,n.,ì-láŋâ
recevoir,v.,g͡bɛ̀ɛ̀nì
recherché (être_),v.,jə́ŋbân
recherche (sp),n.,ɲ̀-cáb
recoin,n.,ɛ̀-ndúmgí
recommander (sp),v.,kùmdà
recompenser,v.,yágnà
reconnaître,v.,jə̀m
reconnaître intérieurement,v.,jə̀mlànà
recoudre,v.,lɔ́
recouvert d’herbes,n adj.,nìbà
érection,n.,ŋ̀-kɛ́ɛ́ní
érection (être en ),v.,kɛ́n
recueillir,v.,kɔ̀
recueillir (sp),v.,lə̀ŋ
redonner,v.,dúgnà
redouter,v.,ɲàmnì èè
redresser,v.,nìmì
redresser (se ),v.,ɲòònì
refaire,q aux.,bágbá
refaire,q aux.,dúgnà
refaire,q aux.,tìmnì
refouler,v.,bó
refroidir (se ),v.,vwábî
refus (sp),n adj.,mə̀-wàd
refuser,v.,bɛ̀n
refuseur,n.,àbɛ̀nə̀
regard,n.,mə̀-tálí
regarder,v.,tál
rein,n.,ɛ̀-tám
rein,n.,m̀-màŋ ɛ́tám
reins,n.,ù-dúg
rejeter (se ),v.,bɛ̀ɛ̀nì
rejet(on),n.,m-ɔ́ŋnɔ̀
religion,n.,ɲ̀-ɲə́bə́
remarquable,n adj.,kòòŋ
remède,n.,byàŋ
remèdes,n.,mə̀-bálá
remerciement,n.,ŋgǎŋ
remettre (se ),v.,lɛ̀d
remplacer (sp),v.,lɛ̀z
rempli,n adj.,ǹ-túd
remplir,v.,jáálâ
remplir,v.,jázlâ
remplir,v.,ɲɔ̀dbɔ̀
"remplir (se ), plein (être_)",v.,já
remuant (être_),v.,jàŋ
remue-méninges,n.,ì-bù pə̀g
remuer,v.,pógó
remuer,v.,pógó
remuer avec force,v.,bùùlà
renchérir,v.,kàmzànà
rencontre,n.,ndóꜜbnó
rencontrer,v.,tóbnò èè
rencontrer (se ),v.,tóbnì
rendez-vous,n.,m-ágnì
rendre,v.,dúgnà
renfermé,n adj.,ù-sùsùdà
renfrogné,n adj.,ù-sùsùdà
renommé (être_),v.,wúm
renoncer,v.,jə̀bì
renoncer,v.,màz
rentrer,v.,dúgnì
rentrer,v.,sòb á
rentrer,v.,tìmnì
renverser,v.,kpə̀zə̀
renverser,v.,súglâ
renverser,v.,vyàŋlà
renvoi,n.,ŋmg͡bə̀g
renvoyer son tort,v.,bádnà
repas,n.,ɛ̀-dí
reposer (se ),v.,wàgbɔ̀
repriser,v.,lɔ́
reprocher,v.,jò
reproches,n.,bì-jò
reproduction des poissons,n.,mə̀-lògò
respect,n.,ù-lùgá
respecter,v.,kám
respecter,v.,lùgà
respecter,v.,wóg
respiration,n.,m̀-vòzbò
respirer,v.,vòzbò
respirer avec peine,v.,sə́gzân
responsabilité,n.,à-mòd
ressemblance,n.,mbòòní
ressembler,v.,vú
ressembler (se ),v.,pòònì
ressentiment,n.,ì-bá
ressort,n.,ɲ̀-càg
reste,n.,ɛ̀-tǐg
reste,n.,ì-kàgá
reste,n.,mə̀-lígí
reste (sp),n.,ì-súg ꜜmɔ́
rester,v.,bógbô
rester,v.,káŋâ
rester,v.,lígî
rester (sp),v rés.,tə̀mə́
restituer,v.,dúgnà
retard,n.,díŋdíŋ
retard,n.,mbúz
retard (en ),adv.,mbúmbúâ
retard (sp),n.,ì-bóg
retenir,v.,hámzân
retenir,v rés.,hàdá
retenue (sans_),n adj.,mbògmbòg
retourner,v.,tìmnì
retourner,v.,vyàŋlà
retourner (se ),v.,vyàŋlànà
retrousser,v.,tùnì
retrouver,v.,swàm
revenant,n.,kón
revendication,n.,mbàŋ
revendication,n.,ŋ̀-kál
revendication (sp),n.,ì-zàmì
revendiquer,v.,kál
revenir,v.,dúgnì
reviviscence,n adj.,ɲ̀-cád
réfléchir,v.,còg
réfléchir,v.,sóŋ
réflexion,n.,ɲ̀-cògní
régime,n.,ɲ̀-cág
régime (sp),n.,ɲ̀-cǎz
rhamnacée (sp),n.,ŋ̀-káŋlá
rhumatisme,n.,ɛ̀-kàŋ
rhumatisme (sp),n.,ù-ɲál
rhume,n.,ì-bə̀bòm
Rhynchophorus ferrugineus,n.,kàŋgázâ
riche,n adj.,m̀-pàŋ
richesse,n.,à-kúmá
Ricinodendron heudelotii,n.,ì-zə́záŋ
ricocher,v.,báŋ
ride,n.,ù-tàd
rien,adv.,háb
rien,n.,d-àm
rien (pour ),adv.,á pûpùd
rigole,n.,ì-sàlgà
rigole,n.,m̀-mə́mə́g
rigoureux,n adj.,ŋ̀-gə́ŋgɛ́d
rigueur,n.,ŋgɛ́d
rikio,n.,à-sám
rire,v.,wɛ̀
risée,n.,bì-jǎ
rite,n.,ɛ̀-kə̀ŋ
rite (sp),n.,bíná
rite (sp),n.,cógó
rite (sp),n.,ì-jómí
rite (sp),n.,mbàbì
rituel (sp),n.,ɛ̀-kúz
rituel (sp),n.,mə̀-jə̀b
rivage,n.,cíngí
rivage,n.,kòn
rivage,n.,ŋ̀-ŋóm
rival,n.,mbán
rivaliser,v.,pɛ̀dnì
rive,n.,cíngí
rive,n.,kòn
rive,n.,ŋ̀-ŋóm
rivière,n.,ù-só
rixe,n.,ì-tɔ̀m
riz,n.,ù-lɛ́z
réjouir (se ),v.,pòn
réjouir (se ),v.,sàmà
réjouir (se ),v.,tàg
rémunérer,v.,yágnà
robe,n.,kàbà
robe (sp),n.,kàbà ŋgónó
robe (sp),n.,kàbà ŋ̀kùg
robinet,n.,ŋ̀-kɔ́ŋ
robuste (être_),v.,ság
roche,n.,ì-kóg
roche (sp),n.,ù-sán
rocher,n.,ŋgɔ̀g
rocher,n.,ŋ̀-kóm
rocou,n.,lélê ǹtáŋní
rogner,v.,cə̀g
rognon,n.,ɛ̀-tám
rondelet,n adj.,ì-ndód
ronger,v.,wòdì
rosaire,n.,sádyâ
rosée,n.,ì-búâ
roselle,n.,ì-sǎŋ
rot,n.,ŋmg͡bə̀g
roter,v.,ŋmg͡bə̀g
rotin,n.,ǹ-nɔ́ŋ
rotin (sp),n.,mbə́ŋ
rotule,n.,ŋgɔ̀g ɛ̀bɔ́ŋ
roue,n.,à-kǒl
rouge,n.,à-və̌
rouge (être_),v.,və̀
rougeur (sp),n.,còd
rougir,v.,və̀
roulade,n.,kúlâ
rouler,v.,bígdâ
route,n.,ɲ̀-ɲɔ́ŋ
répandre,v.,càm
répandre,v.,wùlà
répandre (se ),v.,càmnì
réparateur,n.,ŋ̀-kòmò
réparer,v.,lɔ́
répartition,n.,ŋgàb
râpeur,n.,ù-jə̀ŋ
répit (éprouver ),v.,sə́gzân
répondre,v.,jə́blə̂
répondre,v.,yàlnà
répondre de,v.,kàd
réponse,n.,ì-yàlná
réprimande,n.,bì-jò
réprimande,n.,mbám
réprimander,v.,bám
répéter,v.,báglâ
réserver,v.,kɔ̀y
réserver,v.,này
résidu,n.,ì-jám
résidu,n.,ŋ̀-ŋám
résidu (sp),n.,bì-kpɛ̀zgí
résine,n.,ù-tú
résine (sp),n.,ŋ̀-kàm
résistant (être_),v.,tíbdân
résister,v.,káb
résister (ne pas pouvoir ),v.,ɲàmnì èè
résister (sp),v.,kábdân
résonner,v.,lɔ́ŋ
résoudre,v.,swàm
rétablir (se ),v.,lɛ̀d
rôti,n.,kááŋgá
rubiacée (sp),n.,ì-lə̀lɔ̀m
rubiacée (sp),n.,ì-ndə̀ndìŋ
éructation,n.,ŋmg͡bə̀g
éructer,v.,ŋmg͡bə̀g
érudit,n.,ɲ̀-ɲə̀mə̀
rugueux,n adj.,ì-sə̀sâŋà
ruiné,n adj.,ì-kùn
ruine (en ),n adj.,ì-kùn
ruisseau,n.,ɲ̀-càbgà
ruisselet,n.,ɲ̀-càbgà
ruisselet,n.,ɲ̀-cə́bə́g
réunion secrète,n.,ì-sɔ̀gɔ́
réunir (se ),v.,tóbnì
rusé,n.,ù-bàŋgí
réussir,v.,bùgbàn
réussir à,v.,kàbà á
réussir (sp),v.,kàmzànà
réveillé (être_),v rés.,və̌
réveiller,v.,vɛ̀lə̀
réveiller (se ),v.,və̀bə̀
révéler,v.,páŋâ
rythme (sp),n.,bì-zə́mlə́
sa,pro.,-ě
sa,pro.,-ɔ̀
sable,n.,ɲ̀-cɛ̂lgì
s’abstenir,v.,cì
sac,n.,m̀-pə́g
sac,n.,pílâ
sac,n.,ság
sac (sp),n.,ŋ̀-kùd
s’accoupler,v.,pə́bnì
s’accrocher,v.,hámzân
s’accumuler,v.,dìlnà
sacrifier,v.,cíg
s’affronter avec quelqu’un,v.,bàl
safou,n.,sá
safou (sp),n.,àpǔm bìtòdò
safou (sp),n.,àpùmá àsá
safoutier,n.,à-sá
sage,n adj.,m̀-pə̀mpə́g
sagesse,n.,pə̀g
s’aggraver,v.,bɛ̂lnì
s’agiter,v.,lə́gnì
sain,n adj.,mbwàgí
saisir,v.,g͡bè
saisir (sp),v.,sà
saison (grande des pluies),n.,à-káb
saison (petite de pluie),n.,ɛ̀-sómló
saison sèche,n.,ì-sə̀b
saison (sp),n.,ù-jòn
salaire,n.,mwàní à ŋgwàn
saleté,n.,mbìd
salive,n.,mə̀-ndɛ̀n
salive,n.,mə̀-tə́
saluer,v.,kónî
saluer (se),v.,kóònì
salutation,n.,kónó
samedi,n.,sɛ́dàdé
Sanaga,n.,jɔ̌m
sang,n.,mə̀-cǐ
sanglier,n.,ŋgwě ìpə́
sanglier (sp),n.,ì-ŋgág
sangloter,v.,sə́gbə̂
sanglots,n.,mə̀-sə́gbə̂
sans ailes,n.,ǹ-nə́ŋ
sans retenue,n adj.,mbògmbòg
santé,n adj.,mbwàgí
sapelli,n.,à-sə̀
sapindacée (sp),n.,ɛ̀-wóngí
sapotacée (sp),n.,à-jàb zɔ̂g
sarcastique,n adj.,pyàŋà
Sarcocephalus pobeguinii,n.,ì-ndə̀ndìŋ
saturer,v.,ɲɔ̀dbɔ̀
sauce,n.,ì-súg
sauce,n.,m̀-pùg
sauce,n.,m̀-pyáŋ
sauce,n.,ɲ̀-ɲám
sauce d’arachide (sp),n.,ù-tɔ̀gɔ̀
sauce (sp),n.,m̀-mwàl
sauce (sp),n.,ɲ̀-cà
sauter,v.,jɛ́lî
sauter,v.,jɛ́lî
sauter,v.,nə̀mnà
sauterelle,n.,m̀-múlgí
sauver,v.,kòdì
sauver,v.,nì
sauver,v.,nì
savane,n.,ǹ-nɔ̌ŋ
savane,n.,ɲ̀-cǎn
savane (sp),n.,ù-zǒm
savant,n.,ɲ̀-ɲə̀mə̀
savate,n.,ɛ̀-bâg
savoir,n.,ù-jə̀m
savoir,v.,jə̀m
savoir,v rés.,njí
savon,n.,sɔ́bɔ́
scarifications,n.,mbǎŋ
scarifier,v.,kpɛ̀d
sceptique,n adj.,bì-sóy
séché (sp),n adj.,m̀-mól
s’échapper,v.,sɛ̀lgàn
sécher,v.,kód
sécher (faire ),v.,yánî
Schistocerca gregaria,n.,ìtàŋgí
schéma,n.,ǹ-nímŋì
séchoir,n.,ɛ̀-kǎŋ
sciemment (faire ),q aux.,váŋ
scier,v.,sìg
scintiller,v.,sán
Scorodophlœus zenkeri,n.,ù-lɔ̌m
scorpion (sp),n.,kádá úlɛ̀də̀
scorpion (sp),n.,ù-lɛ̀d
scrotum,n.,ɛ̀-bìn
scrupuleux,n adj.,bə̀mə̀
sculpter,v.,bà
sculpture,n.,ì-bà
sculpture (sp),n.,à-byà
séduction (sp),n.,ɛ̀-ndómní
séduire,v.,kàz èè
séduire,v.,sɛ̀l
se battre,v.,sìŋ
se briser,v.,bə́gnì
se débattre,v.,cáŋdân
se dépêcher,n adj.,à-vól
se dérober,v.,sɛ̀lgàn
se promener,v.,wùlà
se retenir,v.,kùgbà
se répandre,v.,wùlà
se réserver,v.,kùgbà
se tordre,v.,nɔ̀glàn
se tromper,v.,də̀m
seau,n.,ǹ-nòŋó
sec,n adj.,ŋ̀-kód
secouer,v.,sàmzà
secouer,v.,sə̀gzə̀
secouer (sp),v.,sùgzà
seigneur,n.,ǹ-tí
sein,n.,ɛ̀-bé
sel,n.,ŋ̀-kǔ
sel gemme,n.,ŋ̀-kǔ íꜜkáblí
selles,n.,mə̀-bí
selles (sp),n.,bɔ̀ kògló
semailles,n.,ɛ̀-běy
semaine,n.,sɔ́nɔ̂
semence,n.,mə̀-jóm
semence (sp),n.,kɔ́ŋgwáz
semence (sp),n.,púní
semence (sp),n adj.,m̀-mól
semer très serré,v.,píd
s’enflammer,v.,káb
s’enivrer,v.,sɔ́g
Senna alata,n.,ŋgòm ì ntáŋní
sens,n.,ndìmzàná
s’ensauvager,v.,kùn
sensuel (être ),v.,sògbò
sentier,n.,zɛ̌n
sentir,v.,nùmlà
sentir (toucher),v.,wɔ́gdânà
sept,num.,zàŋmál
serpent,n.,ɲɔ̌y
serpent (sp.),n.,bə́tə́bâŋà
serpent (sp),n.,ɛ̀-jáŋ
serpent (sp),n.,ŋgɔ̀jɔ̀mɔ́
serpent (sp),n.,ŋ̀-kág
serpent (sp),n.,ɲ̀-cə̀g
serpent (sp),n.,ù-bóg mbòn
